timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724393582313,52,ListMajorValidSchool,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-46,,true,,1710,1706,71,71,null,52,10535,0
1724393593183,58,List_Enrollment,200,OK,Onboarding_List APIs 2-62,text,true,,1087,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-enrollment/,58,0,0
1724393580761,58,ListEnrollment,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-62,,true,,1087,1658,71,71,null,58,12423,0
1724393593178,136,Get_User_Application_Details/onboarding/get-user-application-details/-9,200,OK,Onboarding_List APIs 2-48,text,true,,1430,1671,71,71,https://uat-api.nmy-internal.com/onboarding/get-user-application-details/,136,0,0
1724393585253,136,Get_User_Application_Details,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-48,,true,,1430,1671,71,71,null,136,7926,0
1724393593820,71,List_Employment,200,OK,Onboarding_List APIs 2-95,text,true,,1056,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-employment/,71,0,0
1724393580639,71,ListEmployment,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-95,,true,,1056,1658,71,71,null,71,13181,0
1724393593912,63,List_Education,200,OK,Onboarding_List APIs 2-66,text,true,,1158,1657,71,71,https://uat-api.nmy-internal.com/onboarding/list-education/,63,0,0
1724393579053,63,ListEducation,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-66,,true,,1158,1657,71,71,null,63,14859,0
1724393593891,111,List_Employment,200,OK,Onboarding_List APIs 2-94,text,true,,1056,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-employment/,111,0,0
1724393584417,111,ListEmployment,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-94,,true,,1056,1658,71,71,null,111,9474,0
1724393593989,102,Get_User_info/identity/get-user-info/-4,200,OK,Onboarding_List APIs 2-37,text,true,,1216,1674,71,71,https://uat-api.nmy-internal.com/identity/get-user-info/,102,0,0
1724393580528,102,Get_User_info,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-37,,true,,1216,1674,71,71,null,102,13461,0
1724393593955,145,List_MajorValidSchool,200,OK,Onboarding_List APIs 2-49,text,true,,1710,1706,71,71,https://uat-api.nmy-internal.com/onboarding/list-major/,145,0,7
